# origin_id	origin_kind	anchor_case_id	payload_key_ref	payload_key_sha3_256	stream_nonce_hex	introduced_in_release	introduced_in_corpus_revision
origin-argon2id-kdf-work-over-local-cap	fcr_payload	argon2id-kdf-work-over-local-cap	-	8a6891486c0a4eb485251957356c0b4f9fbb0649e8cc9b323bc986c1679c3a29	4057473150f36e55d0252fd96d1c7cf59013c4	0.3.0	1
origin-tlv-unknown-ignorable	fcr_payload	tlv-unknown-ignorable	-	477e814943e4bbd2fb67efd778bc1ae5cb9370041037fa708e08ff829999f36f	a0fe3311dc7ce1fb9dd504e3dfcefc1fe9b29a	0.3.0	1
origin-tlv-reserved-tag-0000	fcr_payload	tlv-reserved-tag-0000	-	bdfb65f35cd05f5a122b4d6f0a40b5e26ade64260f7eefab30f09140ef2a446d	9dbd031d899df011e923ce78e867493aacbf7b	0.3.0	1
origin-tlv-reserved-tag-8000	fcr_payload	tlv-reserved-tag-8000	-	81aa5300b0c238f3f9b0930d23ab93793e07322032d261239307816aba0e4b82	79eb35ad8a61f78673d607fa573adae5bcbe5c	0.3.0	1
origin-tlv-duplicate-tags	fcr_payload	tlv-duplicate-tags	-	0ba2ba72772f35f13f93d4f92451a9f68eb5fd6089318b3dd5fb1177bd27bae2	a311d47d090b3b8cc8ef3b3429a04a2bdc2d78	0.3.0	1
origin-tlv-out-of-order-tags	fcr_payload	tlv-out-of-order-tags	-	511144d862b17b67230b05f7100ce0e86c4d37b1276288a3778ba7445b448042	cb5657ee9321858290464aeba866740d994fc6	0.3.0	1
origin-tlv-truncated-entry-header	fcr_payload	tlv-truncated-entry-header	-	337adcab7dc087d7c1be382897ad9eccddc5d3bd4ab93efca2820454776addfb	d5e54d0e1d983d7e075643880ee6c44f39b7f2	0.3.0	1
origin-tlv-value-runs-past-region	fcr_payload	tlv-value-runs-past-region	-	ccf551e3f817f7379db6629f735a6fdc3d920b4f1046f589e71708c9bfe0fc54	48afc146f3348497fd7843e471b50763152a56	0.3.0	1
origin-tlv-value-above-cap	fcr_payload	tlv-value-above-cap	-	69e56256d9d9c94e977d23d01c2f02df4a5219d12d0489b1bd0f5d32d668de7f	6d1854514d7f9dbb52ce31ac8255da461bebec	0.3.0	1
origin-tlv-unknown-critical	fcr_payload	tlv-unknown-critical	-	10c3ce2613cd3aa0684ddc3f80553d81a1dcc6a9fff1bab05d64fe6bb7cf715c	577907f975bb11f006425abb6afed68c2c3ae9	0.3.0	1
origin-payload-two-chunk	fcr_payload	payload-two-chunk-valid	-	d411e32607d716f79e34a81c86773d5279952e6c673e7357ac17a52e0500732f	9c0be7114842b53285677cb60ee4ec78047727	0.3.0	1
origin-payload-empty-final	fcr_payload	payload-empty-final-after-data	-	3a9731ccd973c7153419f0bd7331567de5c8effc093a70fa36c8a7b067d5ae61	f2a07d81a93933d4503017c9c4e0a477c21d85	0.3.0	1
origin-fca-file-root-valid	fcr_payload	fca-file-root-valid	-	d1190b077853228939a1938c1757c32acf69efbbf4b3f687f383a1a333d13295	8ac9402be4f39a1ef772a8dcdf5ff0eedc8058	0.3.0	1
origin-fca-directory-root-valid	fcr_payload	fca-directory-root-valid	-	23fe56fb50054441d2292066c9ae0fe2cff6a721ffeb32ff2b8eb279b3215814	45aef91ed11fb913e5a7002f44e5a39a6e6697	0.3.0	1
origin-fca-manifest-noncanonical-order-valid	fcr_payload	fca-manifest-noncanonical-order-valid	-	5ff76e16feee74c5f1b3c4599fbfc012bb3522f610d282cfbaf442d8027395b6	b83dcfbbd8a8f1c01fdd0b928451a1c311553c	0.3.0	1
origin-fca-bad-magic	fcr_payload	fca-bad-magic	-	92df267483cd82bb1606789ea9fb1dfd8b56261942675b4f574b32da6e440e3f	81459ef7c0d5a18f6086ef31d84ea38e23897d	0.3.0	1
origin-fca-version-zero	fcr_payload	fca-version-zero	-	e1a5dcd0679b25014c5db13c424050a5c5344b595bb9e86af889de7930d9acb1	a6254b8a0c4e35dd679e110bf634eda5be0b78	0.3.0	1
origin-fca-flags-nonzero	fcr_payload	fca-flags-nonzero	-	920cc11e9dfaeeb6196f07dbdc83479ffbd5d40e70df42ce22fd14f1285f115b	557643427a60bf8a2ae0354759d2cf435e4f60	0.3.0	1
origin-fca-entry-count-zero	fcr_payload	fca-entry-count-zero	-	487663974d54c37e93ff056ce4dada066e3b81d6f8d9eae1585a5f781fcddff6	95cd297e6e987389d60e5ce51082713f23a253	0.3.0	1
origin-fca-manifest-len-zero	fcr_payload	fca-manifest-len-zero	-	169858eadbc8bfc06c98c989278900d73184028cda2b7985a4076843b68e7228	694197f2cbbfe3665a7c03b9bb8ca6870fb9e6	0.3.0	1
origin-fca-total-bytes-disagree	fcr_payload	fca-total-bytes-disagree	-	368f4465e58bd1c29cc9a15ee2bc013071ad801aab92d5cf3042258e3a1a7d67	11af457dca4596c3eff8a5d8d0b287cfb30ced	0.3.0	1
origin-fca-newer-version	fcr_payload	fca-newer-version	-	2ad87a495c22c02d44ad10abb986760322e5a5e9ef7995c7dba0e06b916abe7f	f5bc576fd1f641f8e5edfecb49b796cd677142	0.3.0	1
origin-fca-duplicate-paths	fcr_payload	fca-duplicate-paths	-	63cdb99d2a533b0953abeec5c6c2045582fa2ee3132cc28eb975979c4703d86b	e8734871dafcb3c13ad3a59713775d9ba503b0	0.3.0	1
origin-fca-ascii-case-collision	fcr_payload	fca-ascii-case-collision	-	44af14a5062b94a919722d0d9e23da34bb90d108658a04f7d9a62a9b0e37d7b2	eb58119e080bf25aaec2c7458c629dd13b13d0	0.3.0	1
origin-fca-missing-parent	fcr_payload	fca-missing-parent	-	ed4dcf676d9834b61d5337dab49d446c7e54f4a9723df08db9c75bb672ea7c34	7ba9cce13a6a62a2acde9361e77acc55d40998	0.3.0	1
origin-fca-child-under-file	fcr_payload	fca-child-under-file	-	7d9e759e7067b0640cf17532c5b7a1a49fd37733b7e701794b9c6cdec4da8533	60e9f8b2a2a984208e56d2103c243576470119	0.3.0	1
origin-fca-multiple-roots	fcr_payload	fca-multiple-roots	-	ff501012424fa6699b648386c4bf762649c2b930ee88d58563aa75cfe4584b75	ec22b9d16dcdc9c44e6ea009f9829909f21374	0.3.0	1
origin-fca-path-absolute	fcr_payload	fca-path-absolute	-	09684ceba0919ada1d5643062b8f8031d6da5b20f00a111aa6b894f167670af5	7e90ac5eb7e9f8b42e63cfe181f64a2b641006	0.3.0	1
origin-fca-path-parent-component	fcr_payload	fca-path-parent-component	-	0c11aad2ed69a06906e9fd71dfa95683c628719ce2f377b6dc9690b1898b4507	2d9b245468790ceb40b59ae7ba6532e997aa62	0.3.0	1
origin-fca-path-current-component	fcr_payload	fca-path-current-component	-	cf0169d59cce32feea05e949b749301bd9517be6b4e9bd05dc1afc2f1d320dde	7e3efb992f66e1373385ce60f19f1bdb6fcb27	0.3.0	1
origin-fca-path-trailing-slash	fcr_payload	fca-path-trailing-slash	-	8c3addbbd135f13d3af439f50efe92e19760c6957da86e2dfeb807558208bd7f	a4397998a225c728273a4296c5fe4182d3877f	0.3.0	1
origin-fca-path-repeated-slash	fcr_payload	fca-path-repeated-slash	-	6d2a9c8a7e5ad45bc04c25630e33894dc24b4e04cfa98e2d81ace8a94668fa4e	b55633770525b081e25ca8fcfe471bf8474ca5	0.3.0	1
origin-fca-path-backslash	fcr_payload	fca-path-backslash	-	240559791918acf5d341d25c752522cd29e90227aa1e0207c76c29ca36349730	b89b992558f373153f37953fa2bc79cbadaa2f	0.3.0	1
origin-fca-path-windows-reserved-name	fcr_payload	fca-path-windows-reserved-name	-	a1bfd41b78a12caa3a63a8975f137c852209e1b5dd462fc63e368a4c3f134f32	c2d48f11e79da6093dfc5c1f9ac8b51143a5bd	0.3.0	1
origin-fca-path-trailing-dot	fcr_payload	fca-path-trailing-dot	-	15a08708925ce68f64172047dc9f100b2bff05cf998ce6fb3f2d96e6084b6862	90315a721749bda294dcad5bdf867d3e07cc24	0.3.0	1
origin-fca-path-trailing-space	fcr_payload	fca-path-trailing-space	-	ee6fe7333063339e93a3b61ee5a5a7a9b42812374e522e049e8e08be93f69099	d982d7a106916d0726a7fda18a6ad3d72ff144	0.3.0	1
origin-fca-path-windows-reserved-char	fcr_payload	fca-path-windows-reserved-char	-	1572b5dc474a53a6ea7e174b1d05b9c5f04d684a50eb12d59d7895d5376a43da	bad6748645ac647395c83230c60f5c247f174d	0.3.0	1
origin-fca-path-ascii-control	fcr_payload	fca-path-ascii-control	-	adc56ab2168b75c5d6c8e906e587840f2040ecf39b45687531c2cbe21518f27c	dbceb3a1c617d2fa1d9d1b6ca3cd1bc2b2d507	0.3.0	1
origin-fca-path-delete-byte	fcr_payload	fca-path-delete-byte	-	17de7d5629459316d5a63072fd47cf9daed75e0fbe032fe81876b1c0c27030a2	b302760292372917b16292d92f9fbd94fab0f4	0.3.0	1
origin-fca-path-c1-control	fcr_payload	fca-path-c1-control	-	dfbd75d6ad9812a915193a56f5acef93c76da7ea34969b76b18f1ce1adb7d7d3	5d47beec8e87bd3d77437e5a8fb574ae2ce31c	0.3.0	1
origin-fca-path-bidi-override	fcr_payload	fca-path-bidi-override	-	a1885adc49fd71399fa5a071c53752ce23f9514978e32c3656f37f420730b1a9	eaa465676f2b1aa75cd7807e758903295050a8	0.3.0	1
origin-fca-path-line-separator	fcr_payload	fca-path-line-separator	-	2369aa53a9b3640487e83a3cc6509c7b3d9945e284eba52fe7858c965fc17475	f7999575bc44b25334488ae7fa98309741a7bc	0.3.0	1
origin-fca-path-component-over-max	fcr_payload	fca-path-component-over-max	-	6f5204a5d707a8fd5814b740f8bb890c03c612df536eb9a99651b74709ff3015	fb31f6ae7148ad9910398b449ed9e990d0d7a1	0.3.0	1
origin-fca-path-valid-unicode	fcr_payload	fca-path-valid-unicode	-	8c76edaed31ae915fbc86775b1cc0dfd723b83ba4a9dfaaecc5d3f4caf77e06f	763ddf4a8700102fbcffa28f46c474f29334d3	0.3.0	1
origin-fca-entry-mode-above-permission-bits	fcr_payload	fca-entry-mode-above-permission-bits	-	ee97ecc4ea114ed9e09d33da00cfcc43ba171e67c3c85cd71707aa7c3b31eb35	65adb775d109556787f0a52b4070cca3fdde4a	0.3.0	1
origin-fca-directory-entry-nonzero-size	fcr_payload	fca-directory-entry-nonzero-size	-	3a746f3909ce331f0146424222f6a8382e39456dccf5468405e4c42b3f27e8cd	296ed7c258aa3876538eb725cfa7b4f7ad926a	0.3.0	1
origin-fca-path-nul-byte	fcr_payload	fca-path-nul-byte	-	5ffa85e2bbd81a25da16d546e1dd482fd3ce26edd3bf7f6f4f497d732d24d700	a47debc265771494457f4caeebb581d1e66f38	0.3.0	1
origin-fca-archive-ext-ignorable	fcr_payload	fca-archive-ext-ignorable	-	8c168d9811130b9e1a77a8deddfca94c58d98de54f483d9c8672f8e6a293a5ea	04ea74e86ffaaa81f297fd1d187f46618c7143	0.3.0	1
origin-fca-entry-ext-ignorable	fcr_payload	fca-entry-ext-ignorable	-	ce5e016ed733416381023e7d7344f344eb098fc791d52e3f5f362a9d6a0eab68	57436c73eb2414edb781b99edf446c8ec402b5	0.3.0	1
origin-fca-archive-ext-malformed	fcr_payload	fca-archive-ext-malformed	-	8892feda2dfcd4e1406f6291fad810caf67dc09aa6fe8e5712f8c2f3d5c25b4f	50e0dde5ca66142f95b5bb8be1e916d8f5eb08	0.3.0	1
origin-fca-entry-ext-reserved-tag	fcr_payload	fca-entry-ext-reserved-tag	-	be75386e764ba00b9b01c7d757d5e78b32091d7435094aa66d08a199a91abd7a	e153f62a151c3b3915be0a9336329ed9ae4a9a	0.3.0	1
origin-fca-content-short	fcr_payload	fca-content-short	-	ce5463b9f17c7d59c4270e85036ff7d19b4114bf3ae2cc5d62e8575bc9d9e2b4	477b8b02f1542e19aabaf07c873741292da6a3	0.3.0	1
origin-fca-content-trailing	fcr_payload	fca-content-trailing	-	9ee9be7279b5cf686bea86ab699f0d919fe90297e7643d322552867b54b2625b	c834c588cdb1241abe87591fc81ac7f197a73b	0.3.0	1
origin-fca-entry-kind-invalid	fcr_payload	fca-entry-kind-invalid	-	c0cbedc6557de64fe0f13e16994cb204b683278d52ee74463c41722cb32c2ae0	a90db34307ddda9582a7d514d2b9543007fa60	0.3.0	1
origin-fca-path-depth-over-default-cap	fcr_payload	fca-path-depth-over-default-cap	-	6cec3f2e1ba5f5364ec543c80206f8e75b7356df2a48232da5d1e68e53714aef	063fdcaba136c49595628921282c660ff3230d	0.3.0	1
origin-fca-path-bytes-over-default-cap	fcr_payload	fca-path-bytes-over-default-cap	-	8de5f5f3421d0780b8119dbe4ea4ac4487d66cb167963fd3ead97e2d129ae189	38fa0d21a37cc38c3bf24166b0dfac69e3e775	0.3.0	1
origin-fca-archive-ext-over-default-cap	fcr_payload	fca-archive-ext-over-default-cap	-	958bce63bb7d2cf1b3bf368eff07fddc6e0eb66642ee3889d875369ecde4c4b8	616e81c4f1484a2f064aac3df94074c7b81d68	0.3.0	1
origin-fca-entry-ext-over-default-cap	fcr_payload	fca-entry-ext-over-default-cap	-	afc192bcca3ead715049fc689db1a74cc2cb8f1cb2b47dce04f1ccb2678323c9	c4a97d3d1952c131d94c8156643e41e57b98bc	0.3.0	1
origin-header-recipient-count-over-default-cap	fcr_payload	header-recipient-count-over-default-cap	-	c3881008f527c542645a4b9c10eb6a70881e9ee98e7cb1629c713c3fc36226a8	3e56f2e8e3af06d0276d2a72167e6836588429	0.3.0	1
origin-recipient-body-over-default-cap	fcr_payload	recipient-body-over-default-cap	-	51d57578760ab1d1dd2e1042bac9b95b15ead99c1a500474ae0889ede8acae4f	75dd844243d2248ffa0b1140c7d5774a37c837	0.3.0	1
origin-stream-empty	stream_kat	stream-empty	kat/stream/stream-empty.payload-key.bin	e067ecb2fa5c616e3b22f32f8dd5133bdfc1917a6c7a4583a48d72eaa69e9de1	50505050505050505050505050505050505050	0.3.0	1
origin-stream-one-byte	stream_kat	stream-one-byte	kat/stream/stream-one-byte.payload-key.bin	49c5bc13ba9bda2424de21409098e3f100c6e573b0a12f91f69d92ae19c85d68	51515151515151515151515151515151515151	0.3.0	1
origin-stream-exact-65536	stream_kat	stream-exact-65536	kat/stream/stream-exact-65536.payload-key.bin	e6b3d7e8da3525c14cbfaf7d4d01e1489083f556c9276cecf1722de9f59cb988	52525252525252525252525252525252525252	0.3.0	1
origin-stream-two-chunk-65537	stream_kat	stream-two-chunk-65537	kat/stream/stream-two-chunk-65537.payload-key.bin	0452b204a4d5395ebcd4b1710d00627b521f247859cc38f5582e602a6ae48516	53535353535353535353535353535353535353	0.3.0	1
origin-stream-multi-chunk	stream_kat	stream-multi-chunk	kat/stream/stream-multi-chunk.payload-key.bin	d4d68bcf4ff59146c85996ae8597282dd02eae0efd8553263f4c2c4d1106430a	54545454545454545454545454545454545454	0.3.0	1
